source,target
North America,Amérique du Nord
US,États-Unis
Bernie Sanders*|*United States,Bernie Sanders*|*États-Unis
Stephenie Meyer*|*Edward Cullen*|*Twilight,"Stephenie Meyer*|*Edward Cullen*|*Twilight, chapitre I : Fascination"
Mississippi River,Mississippi
US*|*Hawaii,États-Unis*|*royaume d'Hawaï
,
Los Angeles Dodgers*|*World Series,Dodgers de Los Angeles*|*Série mondiale
Argentina,Argentine
U.S.*|*Baltimore*|*Maryland,États-Unis*|*Baltimore*|*Maryland
Los Angeles Rams*|*Super Bowl*|*Los Angeles,Rams de Los Angeles*|*Super Bowl*|*Los Angeles
World Series,Série mondiale
Colson Whitehead,Colson Whitehead
Avengers: Endgame*|*Joker,Avengers: Endgame*|*Joker
Friday the 13th*|*Halloween,Vendredi 13*|*Halloween : La Nuit des masques
The Ring,Le Cercle
Jurassic World*|*The Lion King,Jurassic Park*|*Le roi Lion
Netflix*|*Tiger King*|*The Queen's Gambit,Netflix*|*Au royaume des fauves*|*Le Jeu de la dame
Netflix*|*Bridgerton*|*Tiger King,Netflix*|*La Chronique des Bridgerton*|*Au royaume des fauves
Hurt Locker*|*Avatar,Démineurs*|*Avatar
Inception*|*Dunkirk,Inception*|*Dunkerque
Train to Busan*|*John Wick 2,Dernier Train pour Busan*|*John Wick: Chaptire 2
The Happening*|*The Conjuring,Phénomènes*|*Conjuring : Les Dossiers Warren
Ocean's Eleven,Ocean's Eleven
Pixar*|*Soul*|*Onward,Pixar Animation Studios*|*Soul*|*En avant
Tom Hanks*|*Seattle,Tom Hanks*|*Seattle
Avengers: Endgame*|*Avengers: Infinity War,Avengers: Endgame*|*Avengers: Infinity War
Anna Faris*|*Jennifer Aniston,Anna Faris*|*Jennifer Aniston
The Twilight Saga: New Moon,"Twilight, chapitre II : Tentation"
The Wizard of Oz,Le Magicien d'Oz
The Godfather,Le Parrain
The Wolf of Wall Street*|*Inception,Le Loup de Wall Street*|*Inception
Avengers*|*The Lion King,Avengers*|*Le roi Lion
Avengers: Age of Ultron*|*Avengers: Endgame,Avengers : L'Ère d'Ultron*|*Avengers: Endgame
The Twilight Saga: Eclipse*|*The Twilight Saga: New Moon,"Twilight, chapitre III : Hésitation*|*Twilight, chapitre II : Tentation"
Moonraker*|*Live and Let Die,Moonraker*|*Vivre et laisser mourir
Thunderball,Opération Tonnerre
The Matrix,Matrix
The Devil's Rejects,The Devil's Rejects
Kill Bill: Vol. 1,Kill Bill: Volume 1
Die Hard,Piège de cristal
The Notebook,N'oublie jamais
The Notebook*|*Dear John,N'oublie jamais*|*Cher John
Iron Man 3*|*The Avengers,Iron Man 3*|*Avengers (série de films)
Avengers: Endgame*|*Black Panther,Avengers: Endgame*|*Black Panther
The Piano,La Leçon de piano
Bad Boys for Life*|*Sonic the Hedgehog,Bad Boys for Life*|*Sonic the Hedgehog
The Hunger Games,Hunger Games
Titanic*|*The Lost World: Jurassic Park,Titanic*|*Le Monde perdu : Jurassic Park
Men in Black*|*Tomorrow Never Dies,Men in Black*|*Demain ne meurt jamais
The Fifth Element*|*The Full Monty,Le Cinquième Élément*|*The Full Monty
The Sandlot,Le Gang des champions
Pirates of the Caribbean: At World's End*|*Avengers: Endgame,Pirates des Caraïbes : Jusqu'au bout du monde*|*Avengers: Endgame
Avatar*|*The Avengers,Avatar*|*Avengers (série de films)
Renée Zellweger*|*Anna Kendrick,Renée Zellweger*|*Anna Kendrick
Clint Eastwood*|*Cuba Gooding Jr.,Clint Eastwood*|*Cuba Gooding Jr.
Dirty Harry,L'Inspecteur Harry
Lethal Weapon,L'Arme fatale
Francis Ford Coppola,Francis Ford Coppola
Godfather*|*James Caan,Le Parrain*|*James Caan
Academy Awards*|*Clint Eastwood,Oscars du cinéma*|*Clint Eastwood
Emma Stone,Emma Stone
Academy Awards*|*Steven Spielberg,Oscars du cinéma*|*Steven Spielberg
Academy Awards*|*Alicia Vikander,Oscars du cinéma*|*Alicia Vikander
Academy Awards*|*Jessica Chastain,Oscars du cinéma*|*Jessica Chastain
Child's Play,Chucky
Academy Awards*|*Clint Eastwood,Oscars du cinéma*|*Clint Eastwood
Academy Awards*|*Silence of the Lambs,Oscars du cinéma*|*Le Silence des agneaux
Terminator*|*Arnold Schwarzenegger,Terminator*|*Arnold Schwarzenegger
Star Wars*|*Jabba the Hutt,"Star Wars, épisode IV : Un nouvel espoir*|*Jabba le Hutt"
Academy Awards*|*Sandra Bullock,Oscars du cinéma*|*Sandra Bullock
Han Solo*|*Star Wars,"Han Solo*|*Star Wars, épisode IV : Un nouvel espoir"
Academy Awards*|*Black Panther,Oscars du cinéma*|*Black Panther
Academy Awards*|*The Father,Oscars du cinéma*|*The Father
Frozen,La Reine des neiges
Guardians of the Galaxy,Les Gardiens de la Galaxie
Academy Awards*|*Helen Mirren,Oscars du cinéma*|*Helen Mirren
Pirates of the Caribbean*|*Johnny Depp*|*Jack Sparrow,Pirates des Caraïbes*|*Johnny Depp*|*Jack Sparrow
Academy Awards*|*Joaquin Phoenix,Oscars du cinéma*|*Joaquin Phoenix
Academy Awards*|*Mel Gibson,Oscars du cinéma*|*Mel Gibson
Pirates of the Caribbean,Pirates des Caraïbes
Academy Awards*|*Frozen,Oscars du cinéma*|*La Reine des neiges
The Twilight Saga,"Twilight, chapitre I : Fascination"
Academy Awards*|*Martin Scorsese,Oscars du cinéma*|*Martin Scorsese
Back to the Future,Retour vers le futur
Academy Awards*|*Jane Fonda,Oscars du cinéma*|*Jane Fonda
Academy Awards*|*Christian Bale,Oscars du cinéma*|*Christian Bale
Golden Globe Awards*|*Denzel Washington,Golden Globes*|*Denzel Washington
Jaws,Les Dents de la mer
Hermione*|*Harry Potter and the Deathly Hallows,Hermione Granger*|*Harry Potter et les Reliques de la Mort
,
Lord of the Rings*|*Gandalf the White,Le Seigneur des anneaux*|*Gandalf
Disney*|*Little Mermaid,Disney Channel*|*La Petite Sirène
Raoul Walsh*|*Irving Cummings,Raoul Walsh*|*Irving Cummings
Gene Kelly*|*Oscars,Gene Kelly*|*Oscars du cinéma
Gollum*|*Lord of the Rings,Gollum*|*Le Seigneur des anneaux
Hobbit*|*Frodo Baggins,Le Hobbit*|*Frodon Sacquet
Ang Lee,Ang Lee
Twilight Saga*|*Anna Kendrick,"Twilight, chapitre I : Fascination*|*Anna Kendrick"
Pirates of the Caribbean*|*Keira Knightley,Pirates des Caraïbes*|*Keira Knightley
Alfred Hitchcock,Alfred Hitchcock
George Lucas,George Lucas
Lord of the Rings,Le Seigneur des anneaux
Star Wars,"Star Wars, épisode IV : Un nouvel espoir"
DC Extended Universe*|*Charles Roven,Univers Cinématographique DC*|*Charles Roven
The Godfather,Le Parrain
