id,alias,name
Q30,U.S.A.,United States
Q30,United States of America,United States
Q30,US of A,United States
Q30,USA,United States
Q30,the States,United States
Q30,the U.S.,United States
Q30,the United States,United States
Q30,the United States of America,United States
Q30,the US,United States
Q30,the USA,United States
Q30,U. S.,United States
Q30,U. S. A.,United States
Q30,U.S.,United States
Q30,America,United States
Q30,US,United States
Q30,Murica,United States
Q30,Merica,United States
Q30,the U.S. of A,United States
Q30,the U.S. of America,United States
Q30,the U.S.A.,United States
Q30,the US of A,United States
Q30,the US of America,United States
Q30,U.S. of America,United States
Q30,US of America,United States
Q60,NYC,New York City
Q60,Capital of the World,New York City
Q60,Caput Mundi,New York City
Q60,Center of the Universe,New York City
Q60,city of New York,New York City
Q60,City of New York,New York City
Q60,New York (city),New York City
Q60,New York City (NYC),New York City
Q60,"New York City, New York",New York City
Q60,"New York City, NY",New York City
Q60,"New York, NY",New York City
Q60,NY City,New York City
Q60,The City So Nice They Named It Twice,New York City
Q60,the five boroughs,New York City
Q60,Big Apple,New York City
Q60,"New York, N.Y.",New York City
Q60,"New York, New York",New York City
Q60,N.Y.C.,New York City
Q60,"New York City, United States",New York City
Q60,N. Y. C.,New York City
Q60,"N. Y., N. Y.",New York City
Q60,New York (NY),New York City
Q60,"New York City, New York, United States",New York City
Q60,"New York City, United States of America",New York City
Q60,"New York City, USA",New York City
Q60,"New York, New York, USA",New York City
Q60,"NY, NY",New York City
Q1207,US-ND,North Dakota
Q1207,ND,North Dakota
Q1207,N.D.,North Dakota
Q1207,State of North Dakota,North Dakota
Q1207,Flickertail State,North Dakota
Q1207,N. Dak.,North Dakota
Q1207,N. Dakota,North Dakota
Q1207,NoDak,North Dakota
Q1207,"North Dakota, United States",North Dakota
Q1207,Peace Garden State,North Dakota
Q1207,Roughrider State,North Dakota
Q1225,The Boss,Bruce Springsteen
Q1225,Bruce Frederick Joseph Springsteen,Bruce Springsteen
Q1225,Bruce Springsteen & The Sessions Band,Bruce Springsteen
Q1225,Bruce Springsteen and The Sessions Band,Bruce Springsteen
Q1225,Bruce Springsteen with The Sessions Band,Bruce Springsteen
Q649,Moskva,Moscow
Q649,"Moscow, Russia",Moscow
Q649,City of Moscow,Moscow
Q649,"Moscow, Russian Federation",Moscow
Q649,"Moscow, Russian SFSR",Moscow
Q649,"Moscow, Soviet Union",Moscow
Q649,"Moscow, USSR",Moscow
Q649,"Moskva Federal City, Russia",Moscow
Q649,"Moskva, Rossiya",Moscow
Q649,"Moskva, Russia",Moscow
Q649,Москва,Moscow
Q649,Moskovĭ,Moscow
Q649,Moskve,Moscow
Q649,Moskvë,Moscow
Q649,Moskvi,Moscow
Q649,Mosky,Moscow
Q8331,foxes,fox
Q8331,vixen,fox
Q9588,Dick Nixon,Richard Nixon
Q9588,Nixon,Richard Nixon
Q9588,President Nixon,Richard Nixon
Q9588,R. M. Nixon,Richard Nixon
Q9588,R. Nixon,Richard Nixon
Q9588,Richard M. Nixon,Richard Nixon
Q9588,Richard Milhous Nixon,Richard Nixon
Q9588,Tricky Dick,Richard Nixon
Q9588,President Richard Nixon,Richard Nixon
Q7183,Qin,Qin dynasty
Q7183,Qin China,Qin dynasty
Q7183,Qin Empire,Qin dynasty
Q8076,console,video game console
Q8076,game console,video game console
Q8076,Video game console,video game console
Q8076,games console,video game console
Q8076,gaming console,video game console
Q8076,video-game console,video game console
Q1265,Rio Colorado,Colorado River
Q1460,Sicilia,Sicily
Q1497,Mississippi,Mississippi River
Q1497,The Mississippi,Mississippi River
Q684,E,east
Q12544,Byzantium,Byzantine Empire
Q12544,Eastern Roman Empire,Byzantine Empire
Q12544,Lower Empire,Byzantine Empire
Q12544,Roman Empire,Byzantine Empire
Q12544,Romanía,Byzantine Empire
Q17167,Rome,Roman Republic
Q17167,res publica,Roman Republic
Q19546,Bishop of Rome,pope
Q19546,Catholic pope,pope
Q19546,patriarch of Rome,pope
Q19546,Pope in Rome,pope
Q19546,Pope of Rome,pope
Q19546,Roman Catholic pope,pope
Q19546,Roman Pope,pope
Q19546,Supreme Pontiff,pope
Q19546,Roman Pontiff,pope
Q19546,Sovereign Pontiff,pope
Q19546,Archbishop of Rome,pope
Q19546,Primate of Italy,pope
Q19546,Successor of the Prince of the Apostles,pope
Q19546,Vicar of Jesus Christ,pope
Q19546,The Pope,pope
Q19546,papacy,pope
Q19546,Holy Father,pope
Q19546,Vicar of Christ,pope
Q19546,pontiff,pope
