id,name,ar,de,es,fr,it,ja,ko,th,tr,zh
Q30,United States,الولايات المتحدة,Vereinigte Staaten,Estados Unidos,États-Unis,Stati Uniti d’America,アメリカ合衆国,미국,สหรัฐอเมริกา,Amerika Birleşik Devletleri,美國
Q60,New York City,نيويورك,New York City,Nueva York,New York,New York,ニューヨーク,뉴욕,นครนิวยอร์ก,New York,纽约
Q1207,North Dakota,داكوتا الشمالية,North Dakota,Dakota del Norte,Dakota du Nord,Dakota del Nord,ノースダコタ州,노스다코타주,รัฐนอร์ทดาโคตา,Kuzey Dakota,北达科他州
Q1225,Bruce Springsteen,بروس سبرينغستين,Bruce Springsteen,Bruce Springsteen,Bruce Springsteen,Bruce Springsteen,ブルース・スプリングスティーン,브루스 스프링스틴,บรูซ สปริงส์ทีน,Bruce Springsteen,布鲁斯·斯普林斯廷
Q649,Moscow,موسكو,Moskau,Moscú,Moscou,Mosca,モスクワ,모스크바,มอสโก,Moskova,莫斯科
Q8331,fox,ثعلب,Fuchs,zorro,renard,volpe,キツネ,여우,หมาจิ้งจอก,tilki,狐
Q9588,Richard Nixon,ريتشارد نيكسون,Richard Nixon,Richard Nixon,Richard Nixon,Richard Nixon,リチャード・ニクソン,리처드 닉슨,ริชาร์ด นิกสัน,Richard Nixon,理查德·尼克松
Q7183,Qin dynasty,سلالة تشين الحاكمة,Qin-Dynastie,dinastía Qin,dynastie Qin,Dinastia Qin,秦朝,진나라,ราชวงศ์ฉิน,Qin Hanedanı,秦朝
Q8076,video game console,مشغل ألعاب الفيديو,Spielkonsole,videoconsola,console de jeux vidéo,console,ゲーム機,비디오 게임 콘솔,เครื่องเล่นวิดีโอเกม,video oyunu konsolu,電子遊戲機
Q1265,Colorado River,نهر كولورادو,Colorado River,Río Colorado,Colorado,Colorado,コロラド川,콜로라도강,แม่น้ำโคโลราโด,Kolorado Nehri,科羅拉多河
Q1460,Sicily,صقلية,Sizilien,Sicilia,Sicile,Sicilia,シチリア州,시칠리아,แคว้นซิซิลี,Sicilya,西西里岛
Q1497,Mississippi River,نهر المسيسيبي,Mississippi,río Misisipi,Mississippi,Mississippi,ミシシッピ川,미시시피강,แม่น้ำมิสซิสซิปปี,Mississippi Nehri,密西西比河
Q684,east,شرق,Osten,este,est,est,東,동쪽,ทิศตะวันออก,doğu,東
Q12544,Byzantine Empire,الإمبراطورية البيزنطية,Byzantinisches Reich,Imperio bizantino,Empire byzantin,Impero bizantino,東ローマ帝国,동로마 제국,จักรวรรดิไบแซนไทน์,Bizans İmparatorluğu,拜占庭帝國
Q17167,Roman Republic,الجمهورية الرومانية,Römische Republik,República romana,République romaine,Repubblica romana,共和政ローマ,로마 공화국,สาธารณรัฐโรมัน,Roma Cumhuriyeti,罗马共和国
Q19546,pope,بابا الفاتيكان,Papst,papa,pape,papa,教皇,교황,พระสันตะปาปา,Papa,教宗
Q33977,Jules Verne,جول فيرن,Jules Verne,Julio Verne,Jules Verne,Jules Verne,ジュール・ヴェルヌ,쥘 베른,ฌูล แวร์น,Jules Verne,儒勒·凡尔纳
Q43723,Benjamin Netanyahu,بنيامين نتنياهو,Benjamin Netanjahu,Benjamín Netanyahu,Benyamin Netanyahou,Benjamin Netanyahu,ベンヤミン・ネタニヤフ,베냐민 네타냐후,เบนจามิน เนทันยาฮู,Bünyamin Netanyahu,本雅明·内塔尼亚胡
