id,wiki_id,name,instance_of,ar,de,es,fr,it,ja
0,Q369547,Sázava Monastery,monastery,,Kloster Sázava,Monasterio de Sázava,monastère de Sázava,Monastero di Sázava,
1,Q779815,animation director,filmmaking occupation,مخرج رسوم متحركة,Regisseur für Animation,director de animación,chef-animateur,direttore dell'animazione,作画監督
2,Q863438,The Valley of Fear,literary work,وادي الخوف,Das Tal der Angst,El valle del terror,La Vallée de la peur,La valle della paura,恐怖の谷
3,Q853935,Kocatepe Mosque,mosque,جامع خوجه تبه,Kocatepe-Moschee,Mezquita Kocatepe,mosquée Kocatepe,,コジャテペ・モスク
4,Q190135,The Little Mermaid,animated film,حورية البحر,"Arielle, die Meerjungfrau",La sirenita,La Petite Sirène,La sirenetta,リトル・マーメイド
5,Q183259,Super Nintendo Entertainment System,electronic device model,سوبر نينتندو إنترتينمنت سيستم,Super Nintendo Entertainment System,Super Nintendo Entertainment System,Super Nintendo Entertainment System,Super Nintendo Entertainment System,スーパーファミコン
6,Q506505,The Comedy of Errors,dramatic work,كوميديا الأخطاء,Die Komödie der Irrungen,La comedia de las equivocaciones,La Comédie des erreurs,La commedia degli errori,間違いの喜劇
7,Q13923,The Grim Adventures of Billy & Mandy,animated television series,مغامرات بيلي وماندي,Die gruseligen Abenteuer von Billy und Mandy,The Grim Adventures of Billy & Mandy,"Billy et Mandy, aventuriers de l'au-delà",Le tenebrose avventure di Billy e Mandy,ビリー&マンディ
8,Q974775,Olympiodorus the Younger,human,أولمبردس الصغير,Olympiodoros der Jüngere,Olimpiodoro el Joven,Olympiodore le Jeune,Olimpiodoro il Giovane,オリンピオドロス
9,Q162062,Pentateuch,religious text,,Pentateuch,Pentateuco,Pentateuque,Pentateuco,モーセ五書
10,Q80692,"Richeza of Poland, Queen of Castile",human,ريكولدا من بولندا,Richeza von Everstein,Riquilda de Polonia,Richezza de Pologne,Richenza di Polonia,リクサ・シロンスカ
